TABLE_NAME                                                                                        COLUMN_NAME                                                                                       RDB$FIELD_POSITION    RDB$FIELD_TYPE    RDB$FIELD_SUB_TYPE    RDB$FIELD_LENGTH    
BONUSPOINTMATERIAL                                                                                LOCATIONID                                                                                                         1                 8                     0                   4    
BONUSPOINTMATERIAL                                                                                BONUSSCHEME                                                                                                        2                37                     0                  20    
BONUSPOINTMATERIAL                                                                                SALEMATERIALCODE                                                                                                   3                 8                     0                   4    
BONUSPOINTMATERIAL                                                                                COLLECTBONUSPOINT                                                                                                  4                 8                     0                   4    
BONUSPOINTMATERIAL                                                                                SPENDBONUSPOINT                                                                                                    5                 8                     0                   4    
BONUSPOINTTURNOVER                                                                                ID                                                                                                                 0                 8                     0                   4    
BONUSPOINTTURNOVER                                                                                LOCATIONID                                                                                                         1                 8                     0                   4    
BONUSPOINTTURNOVER                                                                                BONUSSCHEME                                                                                                        2                37                     0                  30    
BONUSPOINTTURNOVER                                                                                BONUSPOINTBYOBOR                                                                                                   3                16                     1                   8    
BONUSPOINTTURNOVER                                                                                SPENDBONUSPOINT                                                                                                    4                16                     1                   8    
BONUSPOINTTURNOVER                                                                                BONUSPOINTMATERIALPERM                                                                                             5                14                     0                   1    
BROCHURE                                                                                          ID                                                                                                                 0                 8                     0                   4    
BROCHURE                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
BROCHURE                                                                                          NAME                                                                                                               2                37                     0                  50    
BROCHURE                                                                                          BROCHURETYPE                                                                                                       3                 8                     0                   4    
BROCHURE                                                                                          ACTIVE                                                                                                             4                14                     0                   1    
BROCHURE                                                                                          FROMDATE                                                                                                           5                35                     0                   8    
BROCHURE                                                                                          TODATE                                                                                                             6                35                     0                   8    
BROCHUREDETAIL                                                                                    ID                                                                                                                 0                 8                     0                   4    
BROCHUREDETAIL                                                                                    LOCATIONID                                                                                                         1                 8                     0                   4    
BROCHUREDETAIL                                                                                    BROCHUREID                                                                                                         2                 8                     0                   4    
BROCHUREDETAIL                                                                                    POINTPAYMENT                                                                                                       3                16                     1                   8    
BROCHUREDETAIL                                                                                    SETSALEPOINT                                                                                                       4                16                     1                   8    
BROCHUREDETAIL                                                                                    SALEMATERIALCODE                                                                                                   5                 8                     0                   4    
CANCELATION                                                                                       ID                                                                                                                 0                16                     1                   8    
CANCELATION                                                                                       LOCATIONNAMEID                                                                                                     1                 8                     0                   4    
CANCELATION                                                                                       CANCELATIONDATE                                                                                                    2                35                     0                   8    
CANCELATION                                                                                       USERID                                                                                                             3                 8                     0                   4    
CANCELATION                                                                                       SEVINGPLACENUM                                                                                                     4                 8                     0                   4    
CANCELATION                                                                                       CUSTOMER                                                                                                           5                 8                     0                   4    
CANCELATION                                                                                       MATERIALCODE                                                                                                       6                 8                     0                   4    
CANCELATION                                                                                       MATERIALNAMEID                                                                                                     7                 8                     0                   4    
CANCELATION                                                                                       UOMID                                                                                                              8                 8                     0                   4    
CANCELATION                                                                                       QTY                                                                                                                9                16                     1                   8    
CANCELATION                                                                                       SALEPRICE                                                                                                         10                16                     1                   8    
CANCELATION                                                                                       OPERATIONUSERID                                                                                                   11                 8                     0                   4    
CANCELATION                                                                                       NUM                                                                                                               12                 8                     0                   4    
CANCELATION                                                                                       POS                                                                                                               13                37                     0                  10    
CANCELATION                                                                                       ORDERPRINTED                                                                                                      14                14                     0                   1    
CANCELATION                                                                                       CHECKPRINTED                                                                                                      15                14                     0                   1    
CANCELATION                                                                                       LOCATIONID                                                                                                        16                 8                     0                   4    
CANCELATION                                                                                       DBTYPE                                                                                                            17                 7                     0                   2    
CANCELATION                                                                                       DATEOPEN                                                                                                          18                12                     0                   4    
CANCELATION                                                                                       TIMEOPEN                                                                                                          19                13                     0                   4    
CANCELATION                                                                                       CANCELATIONSUBJECT                                                                                                20                37                     0                  50    
CANCELATION                                                                                       SALENUM                                                                                                           21                 8                     0                   4    
CANCELATION                                                                                       OPERATIONID                                                                                                       22                 7                     0                   2    
CANCELATION                                                                                       SPECIFICATION                                                                                                     23                37                     0                  40    
CANCELATION                                                                                       NAPCODE                                                                                                           24                37                     0                  22    
CANCELATION                                                                                       DEFAULTSALEPRICE                                                                                                  25                16                     1                   8    
CANCELATIONSUBJECT                                                                                ID                                                                                                                 0                 8                     0                   4    
CANCELATIONSUBJECT                                                                                LOCATIONID                                                                                                         1                 8                     0                   4    
CANCELATIONSUBJECT                                                                                SUBJECT                                                                                                            2                37                     0                  50    
CASHIMPORTEXPORT                                                                                  ID                                                                                                                 0                 8                     0                   4    
CASHIMPORTEXPORT                                                                                  LOCATIONID                                                                                                         1                 8                     0                   4    
CASHIMPORTEXPORT                                                                                  DATESAVE                                                                                                           2                35                     0                   8    
CASHIMPORTEXPORT                                                                                  USERNAME                                                                                                           3                37                     0                  50    
CASHIMPORTEXPORT                                                                                  DEVICENAME                                                                                                         4                37                     0                  50    
CASHIMPORTEXPORT                                                                                  TYPEACTION                                                                                                         5                37                     0                  20    
CASHIMPORTEXPORT                                                                                  AMOUNT                                                                                                             6                16                     1                   8    
CASHIMPORTEXPORT                                                                                  NOTE                                                                                                               7                37                     0                 200    
CASHIMPORTEXPORT                                                                                  POSNAME                                                                                                            8                37                     0                  30    
CATEGORY                                                                                          ID                                                                                                                 0                16                     1                   8    
CATEGORY                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
CATEGORY                                                                                          NUM                                                                                                                2                 8                     0                   4    
CATEGORY                                                                                          NAME                                                                                                               3                37                     0                  20    
CATEGORY                                                                                          CATEGORY                                                                                                           4                37                     0                  50    
CATEGORY                                                                                          INITIALMATERIALNUM                                                                                                 5                 8                     0                   4    
CATEGORY                                                                                          ENDMATERIALNUM                                                                                                     6                 8                     0                   4    
CATEGORY                                                                                          LOCKEDTURNOVERDISCOUNT                                                                                             7                14                     0                   1    
CATEGORY                                                                                          BONUSPOINTSALEADD                                                                                                  8                 8                     0                   4    
CATEGORY                                                                                          BONUSPOINTSALEDELIVERY                                                                                             9                 8                     0                   4    
CATEGORY                                                                                          DEBITBALANCEPLUS                                                                                                  10                14                     0                   1    
CATEGORY                                                                                          DEBITBALANCEMINUS                                                                                                 11                14                     0                   1    
CATEGORY                                                                                          PRICELISTLOCK                                                                                                     12                14                     0                   1    
CATEGORY                                                                                          NOTE                                                                                                              13                37                     0                  30    
CATEGORY                                                                                          PRICELISTID                                                                                                       14                16                     1                   8    
CATEGORY                                                                                          COLOR                                                                                                             15                 8                     0                   4    
CATEGORY                                                                                          ORDERID                                                                                                           16                37                     0                  10    
CATEGORY                                                                                          POSACTIVE                                                                                                         17                14                     0                   1    
CATEGORY                                                                                          FULLNAME                                                                                                          18                37                     0                 500    
CATEGORY                                                                                          ALTERNATIVNAME                                                                                                    19                37                     0                  20    
CATEGORYNAME                                                                                      ID                                                                                                                 0                 8                     0                   4    
CATEGORYNAME                                                                                      CATEGORYNAME                                                                                                       1                37                     0                 255    
CODEMASK                                                                                          ID                                                                                                                 0                 8                     0                   4    
CODEMASK                                                                                          LOCATIONID                                                                                                         1                 8                     0                   4    
CODEMASK                                                                                          NAME                                                                                                               2                37                     0                  50    
CODEMASK                                                                                          MASK                                                                                                               3                37                     0                 100    
CODEMASK                                                                                          BSTART                                                                                                             4                37                     0                  10    
CODEMASK                                                                                          DECIMALP                                                                                                           5                 8                     0                   4    
CODEMASK                                                                                          BTEST                                                                                                              6                37                     0                 100    
CODEMASK                                                                                          ACTIVE                                                                                                             7                 8                     0                   4    
